383,7648;10
490,815552;10
617,244368932864;10
748,225951750546;13
876,650675369126;14
1014,559029112;14
1157,65760482492;17
1309,67476881436;23
1444,45138543796;27
1587,84736170036;28
1705,97669858853;34
1747,45443334313;46
1848,40301096511;54
1925,07940548991;56
1913,71965413331;68
1957,03581212479;92
1921,82643318729;108
1840,468412818;112
1731,32695916587;136
1548,12974165965;184
1402,14534850569;201
1335,00917069293;209
1287,17125376;214
1174,596608;225
1123,6642597888;233
1061,92256;236
991,3605562368;240
905,2768;242
863,407936;246
855,878144;249
763,939136;247
751,881728;243
745,26912;237
748,230912;235
751,464;226
757,192;218
755,8704;212
760,8544;201
774,2704;193
678,8016;182
709,688;173
735,7552;160
761,731456;148
686,627712;134
722,827712;125
687,424;120
721,4656;115
771,8464;106
819,83271936;105
883,4267268096;98
949,64070656;93
1005,8447273984;91
1062,73991234135;91
1119,92805015066;91
1163,66722872866;93
1207,54169493605;96
1260,27231014346;98
1304,60673695942;104
1231,43693767832;108
1238,76792891245;110
1260,60909880041;114
1254,99670894364;122
1254,10898696956;132
1151,88448522638;141
1114,2970558464;146
1086,4349464576;155
1067,76880852992;165
1036,60738681749;171
1000,364672;176
970,221478056755;181
937,03266048;183
897,4122493952;185
878,87243264;186
851,70835456;184
836,3816640512;186
816,057728;185
817,36788224;183
826,109504;180
840,57243136;180
858,408;177
863,3392;175
884,180672;172
876,60250624;170
875,809984;166
882,27638272;164
872,80760064;162
875,64144128;157
812,438784;156
833,293568;147
879,905042976768;144
912,584512;143
943,2189523968;141
960,13184;136
996,679693369921;137
1006,36294621963;131
1050,54112;132
1064,62944768;131
1092,384128;133
1104,7120198656;133
1131,92685048627;136
1985,84246327886;143
1967,32414717313;149
1917,32619380808;154
1784,31793408064;163
1705,53253202758;179
1633,39245923533;189
1539,05844740915;202
1438,0755968;211
1287,5472;225
1180,66586368;231
1054,83968;234
947,700928;242
861,96419072;249
781,4944;254
731,16;255
697,68;253
691,84;252
689,04;249
688,4848;245
682,0848;238
680,8096;233
672,112;232
672,0544;220
675,5392;207
596,6528;194
628,552;177
667,3696;162
703,0816;145
743,176;136
792,22952448;128
843,4237584384;122
887,515990556672;113
936,29181184;110
980,484363264;105
1039,83440481894;101
1082,79870799679;102
1120,6389036791;103
1156,41382603489;100
1197,6007505352;104
1226,50788369796;104
1264,40775036604;105
1282,74967161091;109
1287,32992928903;117
1283,10540433428;122
1254,5215104562;129
1234,6937056979;136
1158,09335430948;151
1034,41645056;159
1019,7744;166
990,150656;170
923,374656;171
917,7904;172
845,507264;176
845,7049856;179
850,2736;178
847,7954994176;175
850,46688256;174
876,676352;170
906,327936;170
883,1168;166
913,17412352;158
924,991675748352;157
947,017434333184;152
949,848612708352;150
953,780908203868;150
952,978112;151
954,7990919168;150
929,6649709568;151
866,29568;146
879,596352;144
904,855872;142
919,93518848;140
943,97886464;141
971,063424;141
981,94424064;141
989,9970192384;141
1016,36081902387;142
963,313266874991;141
981,8987776;142
986,9674329088;141
988,229568;143
993,63513344;147
967,02048;148
986,73584896;149
939,776256;150
952,820724998144;151
963,992448;153
982,82944;149
1004,4368;149
1009,078784;149
1007,864384;150
1016,936128;153
1029,4192;152
1037,5312;150
1052,7264;150
1065,8096;147
1071,6512;145
1083,55191144825;148
1088,04250624;148
1091,04604660628;151
